Rhode Island, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,32.9,5.1
199102,33.6,5.8
199202,30.8,3.0
199302,24.4,-3.4
199402,24.6,-3.2
199502,27.8,0.0
199602,28.3,0.5
199702,35.4,7.6
199802,36.0,8.2
199902,33.4,5.6
200002,33.0,5.2
200102,30.9,3.1
200202,34.9,7.1
200302,25.2,-2.6
200402,30.9,3.1
200502,30.3,2.5
200602,30.6,2.8
200702,25.4,-2.4
200802,31.8,4.0
200902,32.0,4.2
201002,31.3,3.5
201102,28.8,1.0
201202,35.7,7.9
201302,30.2,2.4
