Vermont, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,26.6,6.4
199112,21.3,1.1
199212,23.9,3.7
199312,21.7,1.5
199412,26.0,5.8
199512,17.3,-2.9
199612,29.2,9.0
199712,22.7,2.5
199812,29.2,9.0
199912,25.7,5.5
200012,16.5,-3.7
200112,29.8,9.6
200212,21.6,1.4
200312,21.8,1.6
200412,21.4,1.2
200512,21.3,1.1
200612,30.5,10.3
200712,21.5,1.3
200812,22.9,2.7
200912,21.9,1.7
201012,20.8,0.6
201112,27.9,7.7
201212,27.4,7.2
201312,21.4,1.2
